agent,weather,map,route,mtime,frames
tcp,1,map_02,routes_town02_tiny,1760842500.0,4513
tcp,0,map_02,routes_town02_long,1760745818.0,11623
tcp,1,map_01,routes_town01_long,1760740069.0,7731
tcp,1,map_06,routes_town06_long,1760738253.0,0
tcp,1,map_05,routes_town05_tiny,1760840661.0,781
tcp,1,map_04,routes_town04_tiny,1760841927.0,3561
tcp,1,map_06,routes_town06_tiny,1760840394.0,0
tcp,1,map_02,routes_town02_long,1760745497.0,8878
tcp,1,map_07,routes_town07_tiny,1760840407.0,0
tcp,1,map_10,routes_town10_tiny,1760840413.0,0
tcp,1,map_04,routes_town04_long,1760740007.0,5360
tcp,1,map_05,routes_town05_long,1760743403.0,6134
tcp,0,map_03,routes_town03_long,1760743985.0,16161
tcp,10,map_02,routes_town02_short,1760974032.0,3401
tcp,10,map_02,routes_town02_long,1760773568.0,6176
tcp,10,map_01,routes_town01_long,1760769309.0,7731
tcp,10,map_06,routes_town06_long,1760767261.0,0
tcp,10,map_04,routes_town04_long,1760769091.0,5360
tcp,10,map_06,routes_town06_short,1760973108.0,0
tcp,10,map_07,routes_town07_short,1760973122.0,0
tcp,1,map_03,routes_town03_long,1760744725.0,16161
tcp,10,map_10,routes_town10_short,1760973137.0,0
tcp,10,map_05,routes_town05_long,1760772457.0,6134
tcp,10,map_05,routes_town05_short,1760979917.0,5541
tcp,10,map_04,routes_town04_short,1760993407.0,9737
tcp,11,map_02,routes_town02_short,1760974311.0,3401
tcp,10,map_03,routes_town03_long,1760773546.0,16161
tcp,11,map_01,routes_town01_short,1760976265.0,8621
tcp,11,map_02,routes_town02_long,1760775130.0,8888
tcp,11,map_01,routes_town01_long,1760770298.0,9411
tcp,11,map_06,routes_town06_long,1760767908.0,0
tcp,11,map_04,routes_town04_long,1760769673.0,5360
tcp,11,map_06,routes_town06_short,1760973710.0,0
tcp,11,map_07,routes_town07_short,1760973730.0,0
tcp,10,map_03,routes_town03_short,1760979333.0,19070
